date,region,product,category,units_sold,unit_price,revenue
2024-01-01,North,Nike Air Max,Footwear,173,149.99,25948.27
2024-01-01,North,Adidas Ultraboost,Footwear,38,189.99,7219.62
2024-01-01,North,Puma RS-X,Footwear,16,109.99,1759.84
2024-01-01,North,Reebok Classic,Footwear,199,89.99,17908.01
2024-01-01,North,New Balance 990,Footwear,80,174.99,13999.2
2024-01-01,North,Levis 501,Apparel,72,69.99,5039.28
2024-01-01,North,Zara Blazer,Apparel,67,129.99,8709.33
2024-01-01,North,HM Joggers,Apparel,45,39.99,1799.55
2024-01-01,North,Uniqlo Hoodie,Apparel,198,59.99,11878.02
2024-01-01,North,Gap Chinos,Apparel,36,79.99,2879.64
2024-01-01,South,Nike Air Max,Footwear,183,149.99,27448.17
2024-01-01,South,Adidas Ultraboost,Footwear,199,189.99,37808.01
2024-01-01,South,Puma RS-X,Footwear,149,109.99,16388.51
2024-01-01,South,Reebok Classic,Footwear,32,89.99,2879.68
2024-01-01,South,New Balance 990,Footwear,161,174.99,28173.39
2024-01-01,South,Levis 501,Apparel,118,69.99,8258.82
2024-01-01,South,Zara Blazer,Apparel,18,129.99,2339.82
2024-01-01,South,HM Joggers,Apparel,17,39.99,679.83
2024-01-01,South,Uniqlo Hoodie,Apparel,33,59.99,1979.67
2024-01-01,South,Gap Chinos,Apparel,65,79.99,5199.35
2024-01-01,East,Nike Air Max,Footwear,69,149.99,10349.31
2024-01-01,East,Adidas Ultraboost,Footwear,139,189.99,26408.61
2024-01-01,East,Puma RS-X,Footwear,164,109.99,18038.36
2024-01-01,East,Reebok Classic,Footwear,16,89.99,1439.84
2024-01-01,East,New Balance 990,Footwear,153,174.99,26773.47
2024-01-01,East,Levis 501,Apparel,60,69.99,4199.4
2024-01-01,East,Zara Blazer,Apparel,193,129.99,25088.07
2024-01-01,East,HM Joggers,Apparel,176,39.99,7038.24
2024-01-01,East,Uniqlo Hoodie,Apparel,189,59.99,11338.11
2024-01-01,East,Gap Chinos,Apparel,149,79.99,11918.51
2024-01-01,West,Nike Air Max,Footwear,117,149.99,17548.83
2024-01-01,West,Adidas Ultraboost,Footwear,66,189.99,12539.34
2024-01-01,West,Puma RS-X,Footwear,124,109.99,13638.76
2024-01-01,West,Reebok Classic,Footwear,160,89.99,14398.4
2024-01-01,West,New Balance 990,Footwear,81,174.99,14174.19
2024-01-01,West,Levis 501,Apparel,11,69.99,769.89
2024-01-01,West,Zara Blazer,Apparel,50,129.99,6499.5
2024-01-01,West,HM Joggers,Apparel,188,39.99,7518.12
2024-01-01,West,Uniqlo Hoodie,Apparel,118,59.99,7078.82
2024-01-01,West,Gap Chinos,Apparel,97,79.99,7759.03
2024-01-01,Central,Nike Air Max,Footwear,81,149.99,12149.19
2024-01-01,Central,Adidas Ultraboost,Footwear,49,189.99,9309.51
2024-01-01,Central,Puma RS-X,Footwear,65,109.99,7149.35
2024-01-01,Central,Reebok Classic,Footwear,96,89.99,8639.04
2024-01-01,Central,New Balance 990,Footwear,36,174.99,6299.64
2024-01-01,Central,Levis 501,Apparel,33,69.99,2309.67
2024-01-01,Central,Zara Blazer,Apparel,107,129.99,13908.93
2024-01-01,Central,HM Joggers,Apparel,34,39.99,1359.66
2024-01-01,Central,Uniqlo Hoodie,Apparel,101,59.99,6058.99
2024-01-01,Central,Gap Chinos,Apparel,98,79.99,7839.02
2024-02-01,North,Nike Air Max,Footwear,164,149.99,24598.36
2024-02-01,North,Adidas Ultraboost,Footwear,77,189.99,14629.23
2024-02-01,North,Puma RS-X,Footwear,21,109.99,2309.79
2024-02-01,North,Reebok Classic,Footwear,196,89.99,17638.04
2024-02-01,North,New Balance 990,Footwear,127,174.99,22223.73
2024-02-01,North,Levis 501,Apparel,147,69.99,10288.53
2024-02-01,North,Zara Blazer,Apparel,41,129.99,5329.59
2024-02-01,North,HM Joggers,Apparel,106,39.99,4238.94
2024-02-01,North,Uniqlo Hoodie,Apparel,30,59.99,1799.7
2024-02-01,North,Gap Chinos,Apparel,151,79.99,12078.49
2024-02-01,South,Nike Air Max,Footwear,85,149.99,12749.15
2024-02-01,South,Adidas Ultraboost,Footwear,170,189.99,32298.3
2024-02-01,South,Puma RS-X,Footwear,168,109.99,18478.32
2024-02-01,South,Reebok Classic,Footwear,102,89.99,9178.98
2024-02-01,South,New Balance 990,Footwear,157,174.99,27473.43
2024-02-01,South,Levis 501,Apparel,59,69.99,4129.41
2024-02-01,South,Zara Blazer,Apparel,190,129.99,24698.1
2024-02-01,South,HM Joggers,Apparel,27,39.99,1079.73
2024-02-01,South,Uniqlo Hoodie,Apparel,21,59.99,1259.79
2024-02-01,South,Gap Chinos,Apparel,179,79.99,14318.21
2024-02-01,East,Nike Air Max,Footwear,68,149.99,10199.32
2024-02-01,East,Adidas Ultraboost,Footwear,84,189.99,15959.16
2024-02-01,East,Puma RS-X,Footwear,30,109.99,3299.7
2024-02-01,East,Reebok Classic,Footwear,69,89.99,6209.31
2024-02-01,East,New Balance 990,Footwear,35,174.99,6124.65
2024-02-01,East,Levis 501,Apparel,107,69.99,7488.93
2024-02-01,East,Zara Blazer,Apparel,81,129.99,10529.19
2024-02-01,East,HM Joggers,Apparel,126,39.99,5038.74
2024-02-01,East,Uniqlo Hoodie,Apparel,172,59.99,10318.28
2024-02-01,East,Gap Chinos,Apparel,103,79.99,8238.97
2024-02-01,West,Nike Air Max,Footwear,51,149.99,7649.49
2024-02-01,West,Adidas Ultraboost,Footwear,104,189.99,19758.96
2024-02-01,West,Puma RS-X,Footwear,100,109.99,10999.0
2024-02-01,West,Reebok Classic,Footwear,63,89.99,5669.37
2024-02-01,West,New Balance 990,Footwear,181,174.99,31673.19
2024-02-01,West,Levis 501,Apparel,78,69.99,5459.22
2024-02-01,West,Zara Blazer,Apparel,189,129.99,24568.11
2024-02-01,West,HM Joggers,Apparel,184,39.99,7358.16
2024-02-01,West,Uniqlo Hoodie,Apparel,175,59.99,10498.25
2024-02-01,West,Gap Chinos,Apparel,28,79.99,2239.72
2024-02-01,Central,Nike Air Max,Footwear,165,149.99,24748.35
2024-02-01,Central,Adidas Ultraboost,Footwear,172,189.99,32678.28
2024-02-01,Central,Puma RS-X,Footwear,53,109.99,5829.47
2024-02-01,Central,Reebok Classic,Footwear,146,89.99,13138.54
2024-02-01,Central,New Balance 990,Footwear,196,174.99,34298.04
2024-02-01,Central,Levis 501,Apparel,72,69.99,5039.28
2024-02-01,Central,Zara Blazer,Apparel,51,129.99,6629.49
2024-02-01,Central,HM Joggers,Apparel,128,39.99,5118.72
2024-02-01,Central,Uniqlo Hoodie,Apparel,107,59.99,6418.93
2024-02-01,Central,Gap Chinos,Apparel,79,79.99,6319.21
2024-03-01,North,Nike Air Max,Footwear,173,149.99,25948.27
2024-03-01,North,Adidas Ultraboost,Footwear,186,189.99,35338.14
2024-03-01,North,Puma RS-X,Footwear,152,109.99,16718.48
2024-03-01,North,Reebok Classic,Footwear,66,89.99,5939.34
2024-03-01,North,New Balance 990,Footwear,185,174.99,32373.15
2024-03-01,North,Levis 501,Apparel,93,69.99,6509.07
2024-03-01,North,Zara Blazer,Apparel,24,129.99,3119.76
2024-03-01,North,HM Joggers,Apparel,68,39.99,2719.32
2024-03-01,North,Uniqlo Hoodie,Apparel,18,59.99,1079.82
2024-03-01,North,Gap Chinos,Apparel,90,79.99,7199.1
2024-03-01,South,Nike Air Max,Footwear,112,149.99,16798.88
2024-03-01,South,Adidas Ultraboost,Footwear,78,189.99,14819.22
2024-03-01,South,Puma RS-X,Footwear,26,109.99,2859.74
2024-03-01,South,Reebok Classic,Footwear,64,89.99,5759.36
2024-03-01,South,New Balance 990,Footwear,155,174.99,27123.45
2024-03-01,South,Levis 501,Apparel,193,69.99,13508.07
2024-03-01,South,Zara Blazer,Apparel,90,129.99,11699.1
2024-03-01,South,HM Joggers,Apparel,64,39.99,2559.36
2024-03-01,South,Uniqlo Hoodie,Apparel,177,59.99,10618.23
2024-03-01,South,Gap Chinos,Apparel,137,79.99,10958.63
2024-03-01,East,Nike Air Max,Footwear,111,149.99,16648.89
2024-03-01,East,Adidas Ultraboost,Footwear,174,189.99,33058.26
2024-03-01,East,Puma RS-X,Footwear,127,109.99,13968.73
2024-03-01,East,Reebok Classic,Footwear,46,89.99,4139.54
2024-03-01,East,New Balance 990,Footwear,77,174.99,13474.23
2024-03-01,East,Levis 501,Apparel,45,69.99,3149.55
2024-03-01,East,Zara Blazer,Apparel,73,129.99,9489.27
2024-03-01,East,HM Joggers,Apparel,200,39.99,7998.0
2024-03-01,East,Uniqlo Hoodie,Apparel,153,59.99,9178.47
2024-03-01,East,Gap Chinos,Apparel,147,79.99,11758.53
2024-03-01,West,Nike Air Max,Footwear,77,149.99,11549.23
2024-03-01,West,Adidas Ultraboost,Footwear,159,189.99,30208.41
2024-03-01,West,Puma RS-X,Footwear,119,109.99,13088.81
2024-03-01,West,Reebok Classic,Footwear,159,89.99,14308.41
2024-03-01,West,New Balance 990,Footwear,112,174.99,19598.88
2024-03-01,West,Levis 501,Apparel,102,69.99,7138.98
2024-03-01,West,Zara Blazer,Apparel,66,129.99,8579.34
2024-03-01,West,HM Joggers,Apparel,45,39.99,1799.55
2024-03-01,West,Uniqlo Hoodie,Apparel,140,59.99,8398.6
2024-03-01,West,Gap Chinos,Apparel,136,79.99,10878.64
2024-03-01,Central,Nike Air Max,Footwear,33,149.99,4949.67
2024-03-01,Central,Adidas Ultraboost,Footwear,22,189.99,4179.78
2024-03-01,Central,Puma RS-X,Footwear,38,109.99,4179.62
2024-03-01,Central,Reebok Classic,Footwear,49,89.99,4409.51
2024-03-01,Central,New Balance 990,Footwear,170,174.99,29748.3
2024-03-01,Central,Levis 501,Apparel,50,69.99,3499.5
2024-03-01,Central,Zara Blazer,Apparel,184,129.99,23918.16
2024-03-01,Central,HM Joggers,Apparel,118,39.99,4718.82
2024-03-01,Central,Uniqlo Hoodie,Apparel,162,59.99,9718.38
2024-03-01,Central,Gap Chinos,Apparel,26,79.99,2079.74
2024-04-01,North,Nike Air Max,Footwear,108,149.99,16198.92
2024-04-01,North,Adidas Ultraboost,Footwear,107,189.99,20328.93
2024-04-01,North,Puma RS-X,Footwear,162,109.99,17818.38
2024-04-01,North,Reebok Classic,Footwear,129,89.99,11608.71
2024-04-01,North,New Balance 990,Footwear,145,174.99,25373.55
2024-04-01,North,Levis 501,Apparel,74,69.99,5179.26
2024-04-01,North,Zara Blazer,Apparel,151,129.99,19628.49
2024-04-01,North,HM Joggers,Apparel,12,39.99,479.88
2024-04-01,North,Uniqlo Hoodie,Apparel,184,59.99,11038.16
2024-04-01,North,Gap Chinos,Apparel,194,79.99,15518.06
2024-04-01,South,Nike Air Max,Footwear,39,149.99,5849.61
2024-04-01,South,Adidas Ultraboost,Footwear,184,189.99,34958.16
2024-04-01,South,Puma RS-X,Footwear,147,109.99,16168.53
2024-04-01,South,Reebok Classic,Footwear,78,89.99,7019.22
2024-04-01,South,New Balance 990,Footwear,174,174.99,30448.26
2024-04-01,South,Levis 501,Apparel,97,69.99,6789.03
2024-04-01,South,Zara Blazer,Apparel,38,129.99,4939.62
2024-04-01,South,HM Joggers,Apparel,85,39.99,3399.15
2024-04-01,South,Uniqlo Hoodie,Apparel,121,59.99,7258.79
2024-04-01,South,Gap Chinos,Apparel,50,79.99,3999.5
2024-04-01,East,Nike Air Max,Footwear,126,149.99,18898.74
2024-04-01,East,Adidas Ultraboost,Footwear,10,189.99,1899.9
2024-04-01,East,Puma RS-X,Footwear,194,109.99,21338.06
2024-04-01,East,Reebok Classic,Footwear,194,89.99,17458.06
2024-04-01,East,New Balance 990,Footwear,77,174.99,13474.23
2024-04-01,East,Levis 501,Apparel,138,69.99,9658.62
2024-04-01,East,Zara Blazer,Apparel,55,129.99,7149.45
2024-04-01,East,HM Joggers,Apparel,139,39.99,5558.61
2024-04-01,East,Uniqlo Hoodie,Apparel,37,59.99,2219.63
2024-04-01,East,Gap Chinos,Apparel,170,79.99,13598.3
2024-04-01,West,Nike Air Max,Footwear,86,149.99,12899.14
2024-04-01,West,Adidas Ultraboost,Footwear,173,189.99,32868.27
2024-04-01,West,Puma RS-X,Footwear,139,109.99,15288.61
2024-04-01,West,Reebok Classic,Footwear,165,89.99,14848.35
2024-04-01,West,New Balance 990,Footwear,60,174.99,10499.4
2024-04-01,West,Levis 501,Apparel,49,69.99,3429.51
2024-04-01,West,Zara Blazer,Apparel,105,129.99,13648.95
2024-04-01,West,HM Joggers,Apparel,51,39.99,2039.49
2024-04-01,West,Uniqlo Hoodie,Apparel,148,59.99,8878.52
2024-04-01,West,Gap Chinos,Apparel,145,79.99,11598.55
2024-04-01,Central,Nike Air Max,Footwear,10,149.99,1499.9
2024-04-01,Central,Adidas Ultraboost,Footwear,163,189.99,30968.37
2024-04-01,Central,Puma RS-X,Footwear,92,109.99,10119.08
2024-04-01,Central,Reebok Classic,Footwear,135,89.99,12148.65
2024-04-01,Central,New Balance 990,Footwear,14,174.99,2449.86
2024-04-01,Central,Levis 501,Apparel,38,69.99,2659.62
2024-04-01,Central,Zara Blazer,Apparel,102,129.99,13258.98
2024-04-01,Central,HM Joggers,Apparel,88,39.99,3519.12
2024-04-01,Central,Uniqlo Hoodie,Apparel,71,59.99,4259.29
2024-04-01,Central,Gap Chinos,Apparel,24,79.99,1919.76
2024-05-01,North,Nike Air Max,Footwear,71,149.99,10649.29
2024-05-01,North,Adidas Ultraboost,Footwear,155,189.99,29448.45
2024-05-01,North,Puma RS-X,Footwear,30,109.99,3299.7
2024-05-01,North,Reebok Classic,Footwear,31,89.99,2789.69
2024-05-01,North,New Balance 990,Footwear,197,174.99,34473.03
2024-05-01,North,Levis 501,Apparel,134,69.99,9378.66
2024-05-01,North,Zara Blazer,Apparel,27,129.99,3509.73
2024-05-01,North,HM Joggers,Apparel,146,39.99,5838.54
2024-05-01,North,Uniqlo Hoodie,Apparel,42,59.99,2519.58
2024-05-01,North,Gap Chinos,Apparel,42,79.99,3359.58
2024-05-01,South,Nike Air Max,Footwear,178,149.99,26698.22
2024-05-01,South,Adidas Ultraboost,Footwear,131,189.99,24888.69
2024-05-01,South,Puma RS-X,Footwear,150,109.99,16498.5
2024-05-01,South,Reebok Classic,Footwear,52,89.99,4679.48
2024-05-01,South,New Balance 990,Footwear,77,174.99,13474.23
2024-05-01,South,Levis 501,Apparel,145,69.99,10148.55
2024-05-01,South,Zara Blazer,Apparel,165,129.99,21448.35
2024-05-01,South,HM Joggers,Apparel,118,39.99,4718.82
2024-05-01,South,Uniqlo Hoodie,Apparel,64,59.99,3839.36
2024-05-01,South,Gap Chinos,Apparel,148,79.99,11838.52
2024-05-01,East,Nike Air Max,Footwear,196,149.99,29398.04
2024-05-01,East,Adidas Ultraboost,Footwear,186,189.99,35338.14
2024-05-01,East,Puma RS-X,Footwear,61,109.99,6709.39
2024-05-01,East,Reebok Classic,Footwear,192,89.99,17278.08
2024-05-01,East,New Balance 990,Footwear,89,174.99,15574.11
2024-05-01,East,Levis 501,Apparel,112,69.99,7838.88
2024-05-01,East,Zara Blazer,Apparel,181,129.99,23528.19
2024-05-01,East,HM Joggers,Apparel,176,39.99,7038.24
2024-05-01,East,Uniqlo Hoodie,Apparel,105,59.99,6298.95
2024-05-01,East,Gap Chinos,Apparel,122,79.99,9758.78
2024-05-01,West,Nike Air Max,Footwear,142,149.99,21298.58
2024-05-01,West,Adidas Ultraboost,Footwear,125,189.99,23748.75
2024-05-01,West,Puma RS-X,Footwear,40,109.99,4399.6
2024-05-01,West,Reebok Classic,Footwear,73,89.99,6569.27
2024-05-01,West,New Balance 990,Footwear,67,174.99,11724.33
2024-05-01,West,Levis 501,Apparel,26,69.99,1819.74
2024-05-01,West,Zara Blazer,Apparel,96,129.99,12479.04
2024-05-01,West,HM Joggers,Apparel,15,39.99,599.85
2024-05-01,West,Uniqlo Hoodie,Apparel,160,59.99,9598.4
2024-05-01,West,Gap Chinos,Apparel,151,79.99,12078.49
2024-05-01,Central,Nike Air Max,Footwear,68,149.99,10199.32
2024-05-01,Central,Adidas Ultraboost,Footwear,160,189.99,30398.4
2024-05-01,Central,Puma RS-X,Footwear,66,109.99,7259.34
2024-05-01,Central,Reebok Classic,Footwear,11,89.99,989.89
2024-05-01,Central,New Balance 990,Footwear,28,174.99,4899.72
2024-05-01,Central,Levis 501,Apparel,191,69.99,13368.09
2024-05-01,Central,Zara Blazer,Apparel,171,129.99,22228.29
2024-05-01,Central,HM Joggers,Apparel,25,39.99,999.75
2024-05-01,Central,Uniqlo Hoodie,Apparel,68,59.99,4079.32
2024-05-01,Central,Gap Chinos,Apparel,27,79.99,2159.73
2024-06-01,North,Nike Air Max,Footwear,18,149.99,2699.82
2024-06-01,North,Adidas Ultraboost,Footwear,94,189.99,17859.06
2024-06-01,North,Puma RS-X,Footwear,28,109.99,3079.72
2024-06-01,North,Reebok Classic,Footwear,141,89.99,12688.59
2024-06-01,North,New Balance 990,Footwear,70,174.99,12249.3
2024-06-01,North,Levis 501,Apparel,81,69.99,5669.19
2024-06-01,North,Zara Blazer,Apparel,181,129.99,23528.19
2024-06-01,North,HM Joggers,Apparel,134,39.99,5358.66
2024-06-01,North,Uniqlo Hoodie,Apparel,64,59.99,3839.36
2024-06-01,North,Gap Chinos,Apparel,148,79.99,11838.52
2024-06-01,South,Nike Air Max,Footwear,43,149.99,6449.57
2024-06-01,South,Adidas Ultraboost,Footwear,195,189.99,37048.05
2024-06-01,South,Puma RS-X,Footwear,156,109.99,17158.44
2024-06-01,South,Reebok Classic,Footwear,157,89.99,14128.43
2024-06-01,South,New Balance 990,Footwear,131,174.99,22923.69
2024-06-01,South,Levis 501,Apparel,72,69.99,5039.28
2024-06-01,South,Zara Blazer,Apparel,131,129.99,17028.69
2024-06-01,South,HM Joggers,Apparel,114,39.99,4558.86
2024-06-01,South,Uniqlo Hoodie,Apparel,58,59.99,3479.42
2024-06-01,South,Gap Chinos,Apparel,34,79.99,2719.66
2024-06-01,East,Nike Air Max,Footwear,34,149.99,5099.66
2024-06-01,East,Adidas Ultraboost,Footwear,178,189.99,33818.22
2024-06-01,East,Puma RS-X,Footwear,120,109.99,13198.8
2024-06-01,East,Reebok Classic,Footwear,100,89.99,8999.0
2024-06-01,East,New Balance 990,Footwear,118,174.99,20648.82
2024-06-01,East,Levis 501,Apparel,115,69.99,8048.85
2024-06-01,East,Zara Blazer,Apparel,129,129.99,16768.71
2024-06-01,East,HM Joggers,Apparel,196,39.99,7838.04
2024-06-01,East,Uniqlo Hoodie,Apparel,23,59.99,1379.77
2024-06-01,East,Gap Chinos,Apparel,182,79.99,14558.18
2024-06-01,West,Nike Air Max,Footwear,177,149.99,26548.23
2024-06-01,West,Adidas Ultraboost,Footwear,175,189.99,33248.25
2024-06-01,West,Puma RS-X,Footwear,35,109.99,3849.65
2024-06-01,West,Reebok Classic,Footwear,25,89.99,2249.75
2024-06-01,West,New Balance 990,Footwear,113,174.99,19773.87
2024-06-01,West,Levis 501,Apparel,196,69.99,13718.04
2024-06-01,West,Zara Blazer,Apparel,96,129.99,12479.04
2024-06-01,West,HM Joggers,Apparel,37,39.99,1479.63
2024-06-01,West,Uniqlo Hoodie,Apparel,73,59.99,4379.27
2024-06-01,West,Gap Chinos,Apparel,59,79.99,4719.41
2024-06-01,Central,Nike Air Max,Footwear,58,149.99,8699.42
2024-06-01,Central,Adidas Ultraboost,Footwear,147,189.99,27928.53
2024-06-01,Central,Puma RS-X,Footwear,124,109.99,13638.76
2024-06-01,Central,Reebok Classic,Footwear,45,89.99,4049.55
2024-06-01,Central,New Balance 990,Footwear,118,174.99,20648.82
2024-06-01,Central,Levis 501,Apparel,56,69.99,3919.44
2024-06-01,Central,Zara Blazer,Apparel,81,129.99,10529.19
2024-06-01,Central,HM Joggers,Apparel,128,39.99,5118.72
2024-06-01,Central,Uniqlo Hoodie,Apparel,73,59.99,4379.27
